"LSAT"|"UGPA"|"female"|"male"|"white"|"nonwhite"|"U_UGPA"|"U_LSAT"
"10378"|34|2.9|1|0|0|1|-0.166686195179004|-0.060539479157498
"10379"|42|3.5|0|1|0|1|0.393969658919579|0.0102137648446081
"10384"|39|3.8|0|1|1|0|0.404681201561198|-0.0524516394505858
"10386"|39|3.8|1|0|0|1|0.564796422581819|-0.0174605332476326
"10387"|44|3.4|0|1|1|0|0.160397116674007|0.0295886803433781
"10388"|30|3.6|1|0|0|1|0.391919907199527|-0.0405587927311075
"10389"|43|4|0|1|1|0|0.542356792247619|0.0360526001094797
"10391"|44|3.9|1|0|1|0|0.484202063046989|-0.0332963461348703
"10394"|43|3.8|0|1|1|0|0.37500053913218|0.0169945810363003
"10396"|43|3.7|0|1|1|0|0.361616316678074|-0.0412533413950997
"10398"|41|3.7|0|1|0|1|0.603309529142018|-0.0806716302086175
"10399"|44|3.5|0|1|1|0|0.210270947639033|0.0624174405543946
"10400"|44|3.5|0|1|1|0|0.210244282080419|-0.0539778986622358
"10403"|42|3.6|0|1|1|0|0.353501743333159|-0.035894777073078
"10406"|42|3.6|0|1|1|0|0.379912984629096|-0.061304501713048
"10408"|41|3.8|0|1|1|0|0.443741144312329|-0.0155262277769521
"10411"|47|3.6|1|0|1|0|0.191227933691238|-0.0169967617340302
"10415"|40|2.9|1|0|0|1|-0.177268699318158|0.0267405041502001
"10416"|41|3.6|0|1|1|0|0.257591661016152|-0.0818191968200002
"10418"|41|3.7|0|1|1|0|0.354256418447984|0.00390863378930724
"10421"|45|3.4|1|0|0|1|0.0744863882628508|0.00774241570724171
"10422"|39|2.9|0|1|0|1|-0.0226533591027181|-0.0305943083849032
"10424"|46|3.5|0|1|1|0|0.274075771475286|0.0183676387828961
"10426"|39|3.5|1|0|0|1|0.276232973346029|-0.076781311977281
"10428"|45|3.5|0|1|1|0|0.308698194782706|0.0145769926758087
"10429"|41|3.8|0|1|1|0|0.399957249882224|-0.00680041749452329
"10430"|39|3.7|1|0|1|0|0.26797985054935|0.035926007337793
"10431"|40|2.7|0|1|0|1|-0.201446358644261|-0.0838185764005216
"10435"|40|3.9|1|0|1|0|0.435536616215662|-0.031556719667378
"10436"|40|3.6|1|0|1|0|0.183370627310652|-0.108004158282665
"10439"|41|4|0|1|1|0|0.590403984223722|0.0170917359529333
"10444"|48|3.6|0|1|1|0|0.331885880323872|0.0732097889450646
"10445"|44|3.5|1|0|1|0|0.109225628230151|0.00956431674676337
"10446"|38|3|0|1|1|0|-0.149607895699826|-0.000640412084229013
"10448"|45|3.4|0|1|1|0|0.117722960996338|0.0621054827240933
"10453"|44|3.6|1|0|1|0|0.23434387495504|0.0513882345769024
"10454"|43|3.7|0|1|1|0|0.177669461804001|0.010308231363659
"10455"|29|3.1|1|0|0|1|-0.0626400356267381|0.0029832461445635
"10456"|40|3.6|0|1|1|0|0.284586424961395|0.0241622482492793
"10460"|45|3.7|0|1|1|0|0.372318642866947|-0.0393314315699803
"10461"|43|3.6|0|1|1|0|0.316946633237735|0.00484476456435899
"10463"|42|3.5|1|0|1|0|0.147472150136154|-0.0383376062475444
"10465"|45|3.3|0|1|1|0|0.146232822556153|0.0231133759455212
"10466"|44|3.4|0|1|1|0|0.123045058762168|0.0352805586285752
"10467"|42|3.6|0|1|1|0|0.237436016124258|-0.0262430841200273
"10468"|43|3.5|1|0|1|0|0.179019325429109|0.00764533748909043
"10469"|44|3.5|1|0|1|0|0.15213811065971|0.0674556495558429
"10471"|45|3.4|1|0|0|1|0.178487470803123|0.0268321781812939
"10475"|42|3.6|1|0|1|0|0.156219575682292|0.0975910585778777
"10476"|41|3.7|1|0|1|0|0.285940975531633|0.0355020829661809
"10478"|35|3.3|1|0|0|1|0.139879168768047|0.0249644541656207
"10479"|45|3.4|1|0|1|0|0.0371724238706537|-0.000286148098518065
"10480"|38|3.5|0|1|0|1|0.365411506185324|0.0267569657006144
"10481"|39|3.9|1|0|1|0|0.401036119233684|0.013334366618699
"10487"|39|3.7|1|0|0|1|0.502745261215129|-0.0858595737063873
"10488"|37|2.9|1|0|0|1|-0.151357230298915|0.0550138922046857
"10489"|46|3.3|0|1|1|0|0.0564651061096337|-0.0101845146597722
"10491"|34|3.1|0|1|0|1|0.0832785271052735|0.0562253786266756
"10495"|43|3.4|0|1|1|0|0.198176198104093|-0.0148178424086136
"10498"|42|3.6|1|0|0|1|0.359490699861067|-0.0227242150671769
"10501"|42|3.7|1|0|0|1|0.382622988130049|-0.0151749543951906
"10503"|41|3.6|0|1|1|0|0.261260450198067|-0.0780032215649683
"10507"|41|3.6|1|0|1|0|0.134549194583157|-0.0115750499325595
"10510"|44|3.4|0|1|1|0|0.0868732866923154|-0.0713320859844047
"10514"|43|3.6|0|1|1|0|0.288992599107859|0.0157903074403562
"10515"|38|3.8|0|1|1|0|0.49244193913369|0.000413550613870077
"10516"|44|3.5|0|1|1|0|0.317759711048403|0.00465897447814656
"10518"|41|3.5|0|1|1|0|0.199897390950314|-0.00460557852191414
"10523"|43|3.8|1|0|1|0|0.353128028679772|0.00121407722913569
"10524"|46|3.7|0|1|1|0|0.43508830543035|0.0185604065484081
"10526"|40|4|1|0|1|0|0.543684547141656|-0.00993270002105171
"10528"|42|3.7|0|1|1|0|0.269516968307006|0.0393902245591698
"10530"|40|3.5|0|1|0|1|0.393923724867628|-0.00573375267272271
"10531"|42|3.7|0|1|1|0|0.388357824723812|-0.00549597398075975
"10533"|42|3.7|0|1|1|0|0.433053947337958|-0.0258316589840697
"10534"|38|3.7|0|1|1|0|0.321104450034094|0.0676694936047564
"10535"|32|3.1|1|0|0|1|-0.0521545216549888|-0.0115011704017129
"10536"|37|3.8|1|0|0|1|0.485815334008401|-0.0130954149080101
"10538"|43|3.6|0|1|1|0|0.290304541624243|0.0238149211028158
"10541"|43|3.6|1|0|1|0|0.211177645599076|-0.0344463755535895
"10542"|40|3.1|0|1|1|0|-0.109355633297095|-0.00500087086348437
"10546"|32|3.1|0|1|0|1|0.0974600523121745|-0.0416619308261219
"10547"|41|3.7|0|1|1|0|0.400606065549787|0.0247031165936751
"10551"|40|3.8|0|1|1|0|0.410800853423141|0.000144488302601675
"10552"|25|2.6|1|0|0|1|-0.429387010151422|0.0508341770591228
"10557"|30|3.1|1|0|1|0|-0.199539647168333|0.0217139226554055
"10558"|37|3.3|0|1|1|0|0.0865005764138895|-0.0443360751166602
"10560"|37|2.8|0|1|1|0|-0.286109189300818|0.0675015141804773
"10563"|30|3.5|1|0|1|0|0.0927734276713615|0.0329565203334026
"10564"|35|3|0|1|1|0|-0.188718189614159|0.0150040320921886
"10565"|32|3.3|0|1|1|0|0.109116300790763|-0.0125279450194499
"10567"|37|3.1|0|1|1|0|-0.0657045127995097|-0.096879478962203
"10570"|29|3.6|1|0|1|0|0.224789807484325|-0.0137146158679319
"10571"|39|2.6|1|0|1|0|-0.623383372700623|0.0316880479397259
"10572"|41|2.6|0|1|1|0|-0.448873695820769|0.0139397619552168
"10574"|32|3.1|1|0|1|0|-0.131875537662968|0.0368074735268012
"10576"|33|3.4|1|0|1|0|0.0753849362618803|-0.0481829258039368
"10578"|34|3.3|1|0|1|0|-0.0781532437875089|-0.000675700590761928
"10582"|34|3.2|1|0|1|0|-0.0713655325785452|-0.00515210475814602
"10588"|39|2.5|1|0|1|0|-0.568656231922569|0.034534096970062
"10590"|24|2.7|1|0|0|1|-0.278070421037853|-0.0345915580768811
"10591"|32|3.6|1|0|1|0|0.210641157121501|0.0238070417523936
"10593"|32|3.4|1|0|1|0|0.0511878487272718|0.0235805690053031
"10594"|32|2.5|1|0|1|0|-0.601224333004119|0.0313545191910991
"10595"|24|3|1|0|0|1|-0.0787420240740329|-0.0678879922218201
"10596"|37|3.3|1|0|1|0|-0.023900756558792|0.0568707730533602
"10598"|33|3|0|1|1|0|-0.136933223301282|-0.0147960325231733
"10607"|28|3.2|0|1|1|0|0.0454617535359902|0.0176813645634302
"10608"|20|3.1|1|0|0|1|0.024769405865658|-0.00170145471431405
"10610"|34|3.1|1|0|1|0|-0.168153317186151|-0.0241870672359684
"10615"|36|3.1|1|0|1|0|-0.185884962613519|-0.0548967662736671
"10620"|32|3.2|0|1|1|0|-0.0636831025021752|-0.0375914730439839
"10622"|37|3.3|1|0|1|0|-0.054675743850619|0.00872438169607032
"10623"|20|2.4|0|1|0|1|-0.404013034746368|-0.0438680216571874
"10627"|22|2.9|0|1|0|1|-0.0833245339736235|0.0678562693632521
"10629"|32|2.4|0|1|1|0|-0.615476108551279|-0.00394689056793425
"10632"|27|2.6|0|1|1|0|-0.484992971798851|-0.00135859652235234
"10634"|32|3|1|0|1|0|-0.255560987044598|-0.0735846367176863
"10636"|29|2.6|0|1|1|0|-0.375084551696739|-0.022811629188099
"10638"|30|2.2|0|1|1|0|-0.753817804491479|0.00100613969425897
"10640"|20|3.1|1|0|0|1|-0.0186148041196179|0.0539548703406999
"10643"|22|2.4|0|1|1|0|-0.502920021258657|-0.0284541533476787
"10649"|33|2.9|0|1|1|0|-0.196804369537281|-0.0429162417803356
"10652"|21|2|1|0|0|1|-0.802017588397196|0.0504641750639036
"10658"|18|3.5|1|0|0|1|0.231775145080441|-0.0216599715065131
"10661"|20|1.8|0|1|0|1|-0.759271745335891|-0.00886004644175859
"10662"|23|3|0|1|0|1|0.083553111414323|-0.0501385033258535
"10664"|20|2.2|1|0|0|1|-0.599179795308936|-0.0313828159301937
"10668"|20|3.2|1|0|0|1|0.110208701277023|0.0118569363770694
"10669"|15|2.1|1|0|0|1|-0.823118716603439|-0.0239584383381484
"10670"|21|2.1|1|0|0|1|-0.721307986978792|-0.0724473514537336
"10671"|24|3.7|1|0|0|1|0.471945626487144|-0.0243991090240242
"10672"|16|2.3|1|0|0|1|-0.638713971261632|-0.0479258813208952
"10673"|19|3.4|1|0|0|1|0.20774150701714|0.0468368881838556
"10674"|23|3.3|1|0|0|1|0.0268380934543885|-0.030436775021348
"10680"|28|2.3|0|1|1|0|-0.615640667905724|0.0695289998850182
"10681"|28|2.4|0|1|0|1|-0.36753378359033|-0.00692065050906358
"10682"|29|2|0|1|1|0|-0.873663561114243|0.00950864205319448
"10684"|28|3.2|1|0|1|0|-0.130414048976325|0.00327614279038946
"10685"|33|2.6|0|1|1|0|-0.405215667384365|-0.0304487244671498
"10686"|29|2.8|1|0|0|1|-0.236807219693887|0.0891834514600004
"10687"|20|2.7|1|0|0|1|-0.281877042748388|-0.0118666643038376
"10688"|27|2.8|1|0|0|1|-0.156320242148523|-0.0308985077412523
"10694"|23|2.3|0|1|1|0|-0.600894795782459|-0.0149347234456497
"10695"|30|2.7|1|0|0|1|-0.243696131351867|-0.0191953548773413
"10696"|30|2.7|1|0|1|0|-0.459820858738232|-0.0288674715604478
"10698"|48|2|0|1|1|0|-0.952755859301525|0.0636564285956293
"10704"|41|2.5|0|1|1|0|-0.56456510322058|-0.0295455918430473
"10706"|24|3.3|0|1|0|1|0.172440057825978|0.0492597687129107
"10708"|45|2.5|0|1|1|0|-0.501053763661996|-0.0165054288163531
"10709"|37|3.6|1|0|1|0|0.151619051208255|0.0121817567622274
"10712"|39|3.1|1|0|1|0|-0.130860062865498|-0.0244033247043458
"10715"|33|3.8|0|1|1|0|0.393636875800851|-0.0040357326171823
"10716"|24|3.5|0|1|0|1|0.436431404492914|0.0799474835168598
"10717"|38|3.5|1|0|1|0|0.146162348108615|-0.0480819242769722
"10718"|42|3.6|0|1|1|0|0.338865678622827|-0.104760883727953
"10719"|41|3.8|1|0|1|0|0.310294527503295|-0.0185116327744708
"10720"|38|3.4|1|0|1|0|0.0430647585392622|0.00487493873023399
"10721"|45|3.5|1|0|1|0|0.0889976198949191|0.0532627664272425
"10725"|45|3|0|1|1|0|-0.189199376689357|0.145994038677925
"10727"|42|2.5|0|1|0|1|-0.365248885249758|-0.00927405198373756
"10728"|38|3.4|0|1|0|1|0.36025719954784|0.0449968157266742
"10731"|46|2.4|0|1|1|0|-0.561508219914294|-0.0814044380290751
"10733"|38|3.7|1|0|1|0|0.29930596057056|0.0122748032089327
"10734"|32|2.6|1|0|0|1|-0.39775156019132|0.0126017980105866
"10735"|32|2.2|0|1|0|1|-0.61470387213892|-0.0044248898972377
"10737"|29|2.6|0|1|0|1|-0.238010008567054|-0.0169320954522631
"10738"|27|2.7|1|0|0|1|-0.341945613864419|-0.0584226520040674
"10740"|42|3.8|1|0|1|0|0.371651761459306|-0.0234233848298475
"10743"|40|3|1|0|1|0|-0.218161148402048|-0.029650006544901
"10746"|42|3.6|0|1|1|0|0.231659792334976|-0.0705107478408846
"10748"|43|3.3|1|0|1|0|0.00264919911946293|-0.0265844761530689
"10749"|44|2.3|0|1|1|0|-0.682422072732116|0.0147620100182711
"10752"|29|3.3|0|1|0|1|0.198263739220061|0.0294916535458926
"10754"|32|2.8|0|1|0|1|-0.115997017053342|0.0759486083755526
"10755"|38|3.8|0|1|1|0|0.449742304099944|0.0237464382615379
"10758"|43|2.9|1|0|1|0|-0.363984921927255|-0.0760011087531582
"10759"|39|3.6|1|0|1|0|0.28670507842226|-0.0585816014265474
"10760"|40|3.4|1|0|1|0|0.0313077975779062|0.00153873287321758
"10761"|41|3.6|0|1|1|0|0.21728535345864|0.0522632374872213
"10763"|40|3|0|1|1|0|-0.136804655633184|0.0116774254543749
"10766"|29|2.7|1|0|0|1|-0.276311650126575|0.0265811299400583
"10769"|40|3.4|0|1|1|0|0.15060677567714|0.0776049364306478
"10770"|41|2.9|0|1|1|0|-0.210303877543081|-0.0313162469908539
"10772"|37|3.2|1|0|1|0|-0.00354937210535714|-0.0316784649779746
"10774"|37|3.8|1|0|1|0|0.408563434382873|-0.0343449534319195
"10776"|28|3.3|0|1|0|1|0.262718559123429|-0.0553623140799196
"10779"|28|2.8|0|1|0|1|-0.192115107416049|0.0683297588042899
"10780"|24|3.6|1|0|1|0|0.185986631478866|-0.0294965478999253
"10781"|36|3.6|1|0|1|0|0.161495390892336|0.0200740118472866
"10783"|33|3.9|1|0|1|0|0.303199084871673|0.0510059948585237
"10788"|39|3.4|1|0|0|1|0.1925113969416|-0.0233480931353366
"10789"|40|3.6|0|1|1|0|0.297978642198591|0.0121270226204273
"10790"|37|3.4|1|0|1|0|0.0814323363691612|-0.0372722895691743
"10791"|39|3.6|1|0|1|0|0.171258296949945|0.0460784994665152
"10792"|40|2.8|1|0|1|0|-0.461637870185383|-0.073216453507064
"10794"|38|3.4|1|0|1|0|0.0421602669216132|-0.0270511869354071
"10796"|38|3.3|1|0|1|0|-0.030067364575427|0.05584755817839
"10799"|33|3.6|1|0|1|0|0.163906083424342|0.0123030489374188
"10800"|33|2.4|1|0|0|1|-0.590288896968761|0.0540628343415169
"10801"|42|2.5|0|1|1|0|-0.504560850187787|-0.000977441393053263
"10802"|32|2.7|1|0|0|1|-0.27986825798123|0.0327103098426222
"10803"|37|3.3|1|0|1|0|-0.135914219292467|0.130301693790211
"10804"|45|2.8|1|0|1|0|-0.400476123542613|0.0175758446502116
"10805"|30|3.1|1|0|0|1|0.0307629332958545|0.0127825922096093
"10809"|35|3.5|0|1|1|0|0.261846226397926|-0.0482515466619973
"10815"|38|3.6|1|0|1|0|0.256633240646016|-0.0291779842837713
"10816"|31|3.6|0|1|1|0|0.316621492763002|0.0500044112500615
"10817"|46|3.2|1|0|1|0|-0.117689223841497|0.0523937693918273
"10818"|39|3.5|1|0|1|0|0.152346243002202|-0.0595516602987595
"10819"|37|3.2|1|0|1|0|-0.165942827551888|0.0381000846249226
"10821"|38|3.2|1|0|1|0|-0.0978225033228868|-0.0327970143623311
"10827"|35|3.5|1|0|1|0|0.0502297311627243|0.00877535393014074
"10830"|44|3.5|1|0|1|0|0.0647687122500993|0.087394785948337
"10832"|34|3.7|1|0|1|0|0.26020336547767|-0.0817062348613489
"10833"|36|3.9|1|0|0|1|0.520281236850905|0.0273075646739674
"10836"|39|3.7|0|1|1|0|0.336005496641032|0.0540879535246233
"10838"|36|2.7|0|1|0|1|-0.21653192676808|-0.0249787780463001
"10840"|36|3.1|1|0|1|0|-0.14886408577908|-0.0026815264270814
"10843"|40|3.2|1|0|0|1|0.0732524196557917|0.00635183495329111
"10844"|36|3.5|0|1|1|0|0.206004568113423|-0.0191987356310246
"10847"|40|3|0|1|1|0|-0.189756879548685|0.0634495758313502
"10849"|39|3.5|1|0|1|0|0.0295633879359521|0.00315398002436988
"10852"|36|3.4|0|1|1|0|0.0971895120032761|0.0707365180232705
"10853"|43|2.5|1|0|1|0|-0.586369879932304|-0.104738575528559
"10857"|32|3.4|1|0|1|0|0.00226870564335965|-0.0301945987896569
"10858"|42|3.2|0|1|1|0|0.0459293117024523|0.0350190366212778
"10861"|41|3.9|0|1|1|0|0.532839162213724|-0.0628162216865405
"10863"|39|3.3|0|1|1|0|0.0711812830733745|0.0170909571157687
"10866"|39|3.4|1|0|1|0|0.106380809305619|0.0100222611707072
"10870"|36|2.8|1|0|1|0|-0.433255696674543|0.062906827324768
"10871"|37|3.2|1|0|1|0|-0.143864435084499|0.00196584444772551
"10872"|36|3.3|0|1|0|1|0.179939987969401|0.0519029440617794
"10874"|33|3.3|0|1|1|0|0.059959228697327|-0.0357489241912056
"10875"|34|3|1|0|1|0|-0.258491504291596|-0.0265471523873694
"10876"|43|3.3|0|1|1|0|0.12383864603436|0.0154968494046936
"10879"|32|3.6|0|1|1|0|0.253814404204831|-0.0214638323497658
"10880"|34|3.1|1|0|1|0|-0.180538755807501|-0.0335577726667783
"10881"|45|3.2|0|1|1|0|-0.0163852950371449|-0.0578862284141312
"10888"|41|2.9|0|1|1|0|-0.17278830012929|0.0289469206781689
"10889"|41|3.6|1|0|1|0|0.134731512272164|0.00491316426336337
"10890"|42|2.9|0|1|1|0|-0.183994039479429|0.0381164238986325
"10892"|36|3.4|0|1|1|0|0.0753885580806321|0.0193303325145447
"10899"|24|2.9|1|0|0|1|-0.213257018004246|0.0383688151877647
"10900"|35|3.4|0|1|1|0|0.166142976807262|0.0586538631110563
"10903"|39|3.6|0|1|1|0|0.263955874301887|-0.00948379084876669
"10904"|38|3.6|0|1|1|0|0.286908393687043|0.0427325244049117
"10906"|36|3.4|1|0|1|0|0.0548912866287369|0.0959147803260239
"10907"|38|3.4|1|0|1|0|0.0177416491262677|-0.00454703738751522
"10911"|22|2.4|0|1|0|1|-0.456740858554582|0.0468363524534656
"10912"|48|3.2|0|1|1|0|-0.0116035965591155|-0.0707133811930655
"10913"|41|2.6|1|0|1|0|-0.56237793111597|0.0159640206693734
"10915"|38|2.9|0|1|1|0|-0.169521168631676|-0.0475463689414464
"10918"|40|3.3|1|0|1|0|0.0034821619629404|0.0711957575661496
"10920"|47|3.6|0|1|1|0|0.331033776824921|-0.061355861681453
"10923"|39|3.5|1|0|1|0|0.0913048745032488|0.0201420357112791
"10924"|46|2.8|0|1|1|0|-0.295350322847307|0.0539756634847474
"10925"|42|2.8|0|1|1|0|-0.253955674182781|-0.0343171203174658
"10926"|38|3.2|1|0|0|1|0.0746605486152879|0.0450795646048519
"10927"|38|3.3|1|0|1|0|-0.0153685168112228|-0.0103639193265718
"10928"|36|3|0|1|1|0|-0.107330328134619|0.0309075736871805
"10931"|36|2.3|0|1|1|0|-0.687469958234128|0.0285634339043528
"10933"|41|2.6|0|1|1|0|-0.435422607802093|0.0629221630625647
"10934"|40|3.5|1|0|1|0|0.161794816635509|-0.0531042115697384
"10935"|38|3.6|0|1|1|0|0.277394180532451|-0.0717514400016312
"10937"|26|3.4|0|1|0|1|0.31749046507933|-0.0520756557531335
"10938"|43|3.3|0|1|1|0|0.0789293654139009|-0.0572947360107832
"10940"|40|2.8|1|0|0|1|-0.219344122031383|-0.0418001159367213
"10941"|44|2.3|0|1|1|0|-0.656422469358499|-0.00746111481015227
"10943"|44|2.8|0|1|1|0|-0.223214896849305|0.065362647004632
"10945"|43|2.7|1|0|1|0|-0.516513881965039|-0.022352155723252
"10947"|34|3.8|1|0|1|0|0.280734505874807|0.00790950739064949
"10949"|38|3.3|0|1|1|0|0.0699894946517539|0.0234955678321832
"10952"|31|3.6|1|0|1|0|0.15482066605678|0.0616028134929239
"10955"|39|2.9|1|0|1|0|-0.318003984110337|-0.0430733418634651
"10957"|33|3.1|1|0|1|0|-0.176567576609795|-0.0165327916358269
"10964"|34|3.2|0|1|1|0|0.00117476449011461|0.0925123743331166
"10967"|28|3|0|1|0|1|0.0170273216177501|0.0609330165203992
"10968"|31|3.1|0|1|1|0|-0.143405463849125|-0.00124323246653072
"10971"|32|3.5|0|1|1|0|0.208988721115403|-0.0457603762785115
"10972"|36|2.9|0|1|1|0|-0.188020480936872|-0.041345822207927
"10973"|37|3.1|1|0|1|0|-0.189506810430042|-0.00405224247099497
"10974"|34|3.1|0|1|1|0|-0.0157187082971038|-0.0205080339435367
"10975"|38|3|1|0|1|0|-0.200379026834174|0.0483704269419234
"10976"|38|3.4|1|0|1|0|0.0186093860626806|0.0641753752896199
"10979"|33|2.5|0|1|0|1|-0.350974946489809|-0.034132804974157
"10980"|31|3.1|1|0|1|0|-0.211700134456719|-0.0120862767200211
"10981"|33|3.3|1|0|0|1|0.0626472482882237|-0.0211913988556802
"10984"|24|3.1|1|0|0|1|0.0618922619688001|-0.0997567679894925
"10988"|38|3.2|1|0|1|0|-0.0742983576054418|-0.0672544639206716
"10989"|36|2.8|1|0|1|0|-0.391606191072231|0.0489465601739514
"10992"|36|3.1|0|1|1|0|-0.0861410340420308|-0.065424272603115
"10998"|35|3|1|0|1|0|-0.267118144526468|0.0137463670541078
"11001"|34|3.6|1|0|1|0|0.235242519824924|0.00678781900830399
"11003"|35|3.4|1|0|1|0|-0.0339541256838407|-0.0407204432283675
"11005"|36|3|0|1|1|0|-0.0948296563667917|-0.0249465387774734
"11006"|33|3.6|1|0|1|0|0.201719199642044|-0.0237951884748178
"11008"|37|2.7|1|0|1|0|-0.478446901896355|-0.0138005905395133
"11011"|35|3.6|1|0|1|0|0.213305714671058|-0.0312704907305355
"11012"|32|3.1|0|1|1|0|-0.0939937965410608|-0.0162147616346016
"11013"|34|2.9|1|0|1|0|-0.33145403902442|0.00973763998102643
"11014"|33|3.3|0|1|1|0|0.138269737729753|-0.0375388834135725
"11016"|32|3.3|0|1|1|0|0.0677655554164572|-0.0420270634866514
"11017"|34|2.7|0|1|1|0|-0.404187862829462|-0.0365940595521318
"11020"|27|3.7|1|0|1|0|0.295836576827638|-0.0309566890704471
"11027"|36|2.3|0|1|1|0|-0.609693715969311|-0.0326891102448385
"11028"|33|2.9|0|1|1|0|-0.285190058458292|0.0103124808662973
"11029"|35|3.1|0|1|1|0|-0.0442282491660455|0.0448336294907674
"11030"|28|3.5|0|1|0|1|0.323911280357029|0.0559699619520789
"11038"|34|3.5|1|0|1|0|0.100162159658699|-0.0251283437445823
"11043"|38|3.1|0|1|1|0|-0.0678367137495893|-0.0746491892950912
"11044"|33|3.5|1|0|1|0|0.117145131273082|-0.0539939647012737
"11047"|41|2.7|1|0|1|0|-0.442706755950467|-0.0446402569457961
"11049"|32|3.7|1|0|1|0|0.328650843533901|-0.070096780430442
"11050"|35|3.2|0|1|1|0|-0.0198514543250308|-0.00288389860165766
"11051"|35|2.9|0|1|1|0|-0.192535773188143|-0.0164055038485745
"11052"|33|3.1|0|1|1|0|-0.0567138588916384|-0.0289678920058875
"11055"|38|3.1|1|0|1|0|-0.273959903066258|-0.0103690158376517
"11058"|42|3|1|0|1|0|-0.11092694564307|0.0186953024522403
"11059"|36|3.5|1|0|1|0|0.243143178428174|-0.148196887874289
"11062"|37|2.9|1|0|1|0|-0.380186275486343|-0.00833077194745046
"11063"|42|3.7|1|0|1|0|0.3055021291232|0.0738239723593644
"11064"|29|3.5|1|0|1|0|0.0887328578509944|-0.0277642781603479
"11066"|24|3.2|0|1|1|0|0.0363487347163012|-0.0114278475092189
"11067"|33|3.2|1|0|1|0|-0.102801168309103|0.00583009071870148
"11069"|38|3.2|0|1|0|1|0.147621279362917|-0.0263451525649234
"11073"|45|3.3|0|1|1|0|-0.0454156392361848|0.0378873527483306
"11074"|41|3.9|1|0|1|0|0.413380992782304|-0.0536121159026584
"11077"|37|3.4|0|1|1|0|0.0450270731772691|-0.0477957904761599
"11082"|41|3.8|1|0|1|0|0.357481396776598|-0.0154950765644205
"11084"|40|3.6|0|1|1|0|0.312028637929361|0.0236776923959733
"11086"|37|3.6|1|0|1|0|0.143111465082408|0.00588837438640184
"11089"|42|3.2|0|1|1|0|0.0457211522879412|0.0084348388192406
"11090"|40|3.6|0|1|1|0|0.247234793304078|0.0202053898582975
"11091"|44|3.3|1|0|1|0|-0.0529689888669507|-0.0295249911525792
"11092"|41|3.9|0|1|1|0|0.537201601658446|-0.0439511365450144
"11094"|42|3.5|0|1|1|0|0.18414329082521|0.0341303917544022
"11095"|36|3.8|0|1|1|0|0.464490031527775|-0.0199175002503407
"11096"|42|3.3|1|0|1|0|0.00744800131023813|0.0134692063279671
"11097"|43|3.3|0|1|1|0|0.129470684876628|0.0637899353408499
"11102"|40|3.6|1|0|1|0|0.201768903755412|0.000463782660389445
"11103"|46|3.6|1|0|1|0|0.194754259429721|0.0142598639274603
"11104"|40|3.6|0|1|1|0|0.255908508673887|0.00356211494328011
"11107"|39|3.6|1|0|1|0|0.20709917366324|0.0133789830946458
"11109"|42|3.3|1|0|1|0|-0.0218251517804241|-0.0190330919920116
"11110"|43|3.7|0|1|1|0|0.446907575511681|-0.0305482328366064
"11111"|37|3.8|0|1|1|0|0.436631409180791|0.032097413899098
"11112"|38|3.7|1|0|1|0|0.216127548758767|-0.0374558862357516
"11113"|41|3.7|0|1|1|0|0.353208181018819|0.0585413164009987
"11114"|35|3.9|1|0|1|0|0.422940466020437|0.0545245388186026
"11120"|37|3.9|1|0|1|0|0.439502967927958|-0.0356305854583194
"11124"|44|3.4|0|1|1|0|0.198404750513587|-0.00641725751396651
"11126"|41|3.7|0|1|1|0|0.418604680071945|0.029712457434854
"11128"|44|3|0|1|1|0|-0.0935251331498844|-0.0134958938784811
"11130"|36|3.5|1|0|1|0|0.104433332757162|-0.0322736320819265
"11131"|41|3.9|0|1|1|0|0.507541781161361|-0.0476417113366483
"11136"|36|3.9|0|1|1|0|0.510645458288003|-0.0407051680383797
"11137"|40|3.3|1|0|1|0|-0.0648845016988656|0.0170146139802333
"11138"|38|4|0|1|1|0|0.534375668386514|-0.0236933985520331
"11140"|42|3.3|1|0|1|0|-0.0498862021067594|-0.0569360791103541
"11142"|33|2.5|1|0|0|1|-0.480586281788044|0.0694156086313492
"11143"|40|3.7|1|0|1|0|0.300132350469714|-0.00730560069654591
"11145"|46|3.9|0|1|1|0|0.503359353366656|-0.0630736097510999
"11146"|36|3.4|1|0|1|0|0.0524045027953674|0.0650441635116807
"11148"|42|3.5|0|1|1|0|0.286167749001625|-0.0122836397233318
"11150"|39|3.5|0|1|1|0|0.167460717471028|0.0156337793010041
"11151"|39|3.6|1|0|1|0|0.202805931097406|0.0177616242272408
"11152"|37|3.7|1|0|1|0|0.260840061774353|0.0359826538554881
"11154"|36|3.6|0|1|1|0|0.281750896844448|-0.00944436197996295
"11156"|33|3.2|0|1|1|0|0.0284320709981797|0.034167075742856
"11157"|31|3.8|0|1|1|0|0.528757277354515|0.0202397679278121
"11161"|29|3.3|1|0|0|1|0.0556083288117055|0.0300764490909142
"11166"|32|2.5|0|1|1|0|-0.520248904295319|-0.0201308358336796
"11167"|31|3.3|0|1|1|0|-0.00479136103075988|-0.0595935963359725
"11168"|36|3|0|1|1|0|-0.141560546324029|0.00506700624086954
"11170"|34|3.6|0|1|1|0|0.336350489384527|0.0126984479262891
"11172"|40|3.5|1|0|1|0|0.155468333203697|-0.169095119572103
